,precision,recall,f1-score,support
ACC,1.0,1.0,1.0,12.0
BLCA,0.987012987012987,0.987012987012987,0.987012987012987,77.0
BRCA,0.9947643979057592,1.0,0.9973753280839895,190.0
CESC,0.9433962264150944,0.9803921568627451,0.9615384615384616,51.0
CHOL,1.0,0.6,0.75,10.0
COAD,0.912621359223301,0.9690721649484536,0.94,97.0
DLBC,1.0,0.875,0.9333333333333333,8.0
ESCA,0.9032258064516129,0.9333333333333333,0.9180327868852459,30.0
GBM,0.9767441860465116,0.9655172413793104,0.9710982658959537,87.0
HNSC,0.9902912621359223,1.0,0.9951219512195122,102.0
KICH,1.0,0.875,0.9333333333333333,24.0
KIRC,0.9672131147540983,1.0,0.9833333333333333,118.0
KIRP,1.0,0.9649122807017544,0.9821428571428571,57.0
LGG,0.9555555555555556,0.9772727272727273,0.9662921348314607,88.0
LIHC,0.9402985074626866,1.0,0.9692307692307692,63.0
LUAD,0.9439252336448598,0.9439252336448598,0.9439252336448598,107.0
LUSC,0.9555555555555556,0.9247311827956989,0.9398907103825137,93.0
MESO,1.0,1.0,1.0,18.0
OV,0.9545454545454546,1.0,0.9767441860465116,63.0
PAAD,1.0,1.0,1.0,30.0
PCPG,1.0,1.0,1.0,31.0
PRAD,1.0,0.9878048780487805,0.9938650306748467,82.0
READ,0.9032258064516129,0.7567567567567568,0.8235294117647058,37.0
SARC,0.9629629629629629,0.9285714285714286,0.9454545454545454,56.0
SKCM,1.0,1.0,1.0,15.0
STAD,0.9605263157894737,0.9605263157894737,0.9605263157894737,76.0
TGCT,1.0,1.0,1.0,17.0
THCA,1.0,1.0,1.0,104.0
THYM,0.95,1.0,0.9743589743589743,19.0
UCEC,0.9159663865546218,0.956140350877193,0.9356223175965666,114.0
UCS,0.875,0.4666666666666667,0.6086956521739131,15.0
UVM,1.0,1.0,1.0,14.0
accuracy,0.9658792650918635,0.9658792650918635,0.9658792650918635,0.9658792650918635
macro avg,0.9685259724521271,0.9391448657706928,0.9497018099915047,1905.0
weighted avg,0.9659465950899201,0.9658792650918635,0.9647706191108625,1905.0
