,precision,recall,f1-score,support
ACC,1.0,1.0,1.0,12.0
BLCA,0.987012987012987,0.987012987012987,0.987012987012987,77.0
BRCA,1.0,1.0,1.0,190.0
CESC,0.9803921568627451,0.9803921568627451,0.9803921568627451,51.0
CHOL,1.0,0.7,0.8235294117647058,10.0
COAD,0.9117647058823529,0.9587628865979382,0.9346733668341709,97.0
DLBC,1.0,0.875,0.9333333333333333,8.0
ESCA,0.875,0.9333333333333333,0.9032258064516129,30.0
GBM,0.9545454545454546,0.9655172413793104,0.96,87.0
HNSC,0.9902912621359223,1.0,0.9951219512195122,102.0
KICH,0.7777777777777778,0.875,0.8235294117647058,24.0
KIRC,0.9655172413793104,0.9491525423728814,0.9572649572649573,118.0
KIRP,0.9298245614035088,0.9298245614035088,0.9298245614035088,57.0
LGG,0.9545454545454546,0.9545454545454546,0.9545454545454546,88.0
LIHC,0.9402985074626866,1.0,0.9692307692307692,63.0
LUAD,0.9357798165137615,0.9532710280373832,0.9444444444444444,107.0
LUSC,0.9550561797752809,0.9139784946236559,0.9340659340659341,93.0
MESO,1.0,1.0,1.0,18.0
OV,0.8873239436619719,1.0,0.9402985074626866,63.0
PAAD,1.0,0.9666666666666667,0.9830508474576272,30.0
PCPG,1.0,1.0,1.0,31.0
PRAD,0.9878048780487805,0.9878048780487805,0.9878048780487805,82.0
READ,0.875,0.7567567567567568,0.8115942028985508,37.0
SARC,0.9583333333333334,0.8214285714285714,0.8846153846153846,56.0
SKCM,1.0,1.0,1.0,15.0
STAD,0.96,0.9473684210526315,0.9536423841059603,76.0
TGCT,1.0,1.0,1.0,17.0
THCA,1.0,1.0,1.0,104.0
THYM,0.95,1.0,0.9743589743589743,19.0
UCEC,0.9433962264150944,0.8771929824561403,0.9090909090909091,114.0
UCS,0.5238095238095238,0.7333333333333333,0.6111111111111112,15.0
UVM,1.0,1.0,1.0,14.0
accuracy,0.9538057742782152,0.9538057742782152,0.9538057742782152,0.9538057742782152
macro avg,0.9451085628301858,0.9395731967472525,0.9401800545421508,1905.0
weighted avg,0.955847191467396,0.9538057742782152,0.9539538780879268,1905.0
